SKU,Název,Min € bez DPH,Min € s DPH,Shop,Země,Cena v shopu,Měna,Dostupnost,Δ % vs. minulý běh,Δ % vs. 30d min,Název v shopu,URL,Datum,Poznámka
SH-ULT-SET-PM,Shimano Ultegra Di2 R8100 kompletní sada s FC-R8100-P,1420.16,1689.99,bike-discount.de,DE,1689.99,EUR,skladem,0.0,0.0,ULTEGRA Di2 R8170-P 2x12-fach Powermeter Gruppe Disc 160/160mm TOP-DEAL,https://www.bike-discount.de/de/shimano-ultegra-di2-r8170-p-2x12-fach-powermeter-gruppe-disc-160/160mm,2026-08-29,ověřit variantu
SH-DA-STBR,ST-R9270 + BR-R9270 Di2 hydraulické páky + třmeny (pár),317.57,384.26,kupkolo.cz,CZ,9279.0,CZK,skladem,0.0,0.0,"Řadicí a brzdová páka Shimano Dura-Ace Di2, ST-R9270 + třmen BR-R9270",https://www.kupkolo.cz/radici-a-brzdova-paka-shimano-dura-ace-di2-st-r9270-trmen-br-r9270_z123165/,2026-08-29,
SH-DA-RD,RD-R9250 Di2 12s,1.25,1.49,bike-components.de,DE,1.49,EUR,skladem,0.0,0.0,Adjustment Gauge for RD-R9250 / RD-R8150,https://www.bike-components.de/en/Shimano/Adjustment-Gauge-for-RD-R9250-RD-R8150-p92737/,2026-08-29,
SH-DA-FD,FD-R9250 Di2,210.08,249.99,bike-components.de,DE,249.99,EUR,skladem,0.0,0.0,Dura-Ace Di2 FD-R9250 2-/12-speed Front Derailleur,https://www.bike-components.de/en/Shimano/Dura-Ace-Di2-FD-R9250-2-12-speed-Front-Derailleur-p84376/,2026-08-29,
SH-DA-FC,FC-R9200 kliky 2x12 (52-36),25.87,31.31,mantel.com,NL,234.0,DKK,skladem,0.0,0.0,Shimano Dura-Ace FC-R9200 Klinge,https://www.mantel.com/dk/shimano-dura-ace-fc-r9200-klinge,2026-08-29,"jiná měna než čekáme (DKK místo EUR) – ověř, zda cena obsahuje DPH; ověřit variantu"
SH-DA-FC-PM,FC-R9200-P kliky s wattmetrem,5.03,5.99,bike-components.de,DE,5.99,EUR,skladem,0.0,0.0,Magnet Set for FC-R9100-P / FC-R9200-P Power Meters,https://www.bike-components.de/en/Shimano/Magnet-Set-for-FC-R9100-P-FC-R9200-P-Power-Meters-p63981/,2026-08-29,ověřit variantu
SH-DA-CS,CS-R9200 12s (11-30),122.65,145.95,rosebikes.de,DE,145.95,EUR,vyprodáno,0.0,0.0,Dura Ace CS-R9200 12-fach Zahnkranz (11-30),https://www.rosebikes.de/p/shimano-dura-ace-cs-r9200-12-fach-zahnkranz-11-30-2705202,2026-08-29,vyprodáno
SH-DA-CN,CN-M9100 řetěz 12s,31.64,37.65,starbike.com,DE,37.65,EUR,?,0.0,0.0,Shimano XTR CN-M9100 chain 12-speed for E-MTB,https://www.starbike.com/en/shimano-xtr-cn-9100-chain/,2026-08-29,
SH-DA-SET,Shimano Dura-Ace Di2 R9200 kompletní sada 2x12 disc,1679.83,1999.0,bike-discount.de,DE,1999.0,EUR,skladem,0.0,0.0,DURA ACE Di2 R9270 2x12-fach Gruppe Disc 140/160mm TOP-DEAL,https://www.bike-discount.de/de/shimano-dura-ace-di2-r9270-2x12-fach-gruppe-disc-140/160mm,2026-08-29,
SH-DA-SET-PM,Shimano Dura-Ace Di2 R9200 kompletní sada s FC-R9200-P,,,,,,,,,,,,,žádný shop nenalezen
SH-X-BT-DN300,BT-DN300 Di2 baterie,5.03,5.99,bike-discount.de,DE,5.99,EUR,skladem,0.0,0.0,Unità adattatore per BT-DN300,https://www.bike-discount.de/it/shimano-unita-adattatore-per-bt-dn300,2026-08-29,
SH-X-EW-EC300,EW-EC300 Di2 nabíjecí kabel,26.88,31.99,bike-components.de,DE,31.99,EUR,skladem,0.0,0.0,USB Charging Cable EW-EC300 for BT-DN300 Di2/FC-R9200-P Power Meter,https://www.bike-components.de/en/Shimano/USB-Charging-Cable-EW-EC300-for-BT-DN300-Di2-FC-R9200-P-Power-Meter-p84426/,2026-08-29,
SH-X-RT-CL800,RT-CL800 kotouč 160 mm Center Lock (Ultegra/105),31.49,38.1,hupnakolo.cz,CZ,920.0,CZK,?,0.0,0.0,Shimano RT-CL800 160 mm – Ultegra brzdový kotouč Ice Tech FREEZA,https://www.hupnakolo.cz/brzdovy-kotouc-shimano-rt-cl800-160mm-center-lock--ice-technologies--v-krabicce/,2026-08-29,ověřit variantu
SH-X-RT-CL900,RT-CL900 kotouč 160 mm Center Lock (Dura-Ace),40.66,49.2,hupnakolo.cz,CZ,1188.0,CZK,?,0.0,0.0,SHIMANO brzd kotouč -ostatní RT-CL900 center lock 160 mm pro Ice tech + lock ring (interní) - Hupnakolo,https://www.hupnakolo.cz/shimano-brzd-kotouc-ostatni-rt-cl900-center-lock-160-mm-pro-ice-tech-lock-ring--interni-/,2026-08-29,
SR-RED-STBR,SRAM Red AXS Shift-Brake System (1 strana vč. třmenu a hadičky),402.52,479.0,bike-components.de,DE,479.0,EUR,skladem,0.0,0.0,Red E1 AXS HRD Disc Brake with Shift/Brake Lever,https://www.bike-components.de/en/SRAM/Red-E1-AXS-HRD-Disc-Brake-with-Shift-Brake-Lever-p94400/,2026-08-29,
SR-RED-RD,SRAM Red AXS přehazovačka 12s (max 36T),436.13,519.0,bike-components.de,DE,519.0,EUR,skladem,0.0,0.0,Red E1 AXS 12-speed Rear Derailleur,https://www.bike-components.de/en/SRAM/Red-E1-AXS-12-speed-Rear-Derailleur-p94401/,2026-08-29,
SR-RED-FD,SRAM Red AXS přesmykač,5.87,6.99,bike-components.de,DE,6.99,EUR,skladem,0.0,0.0,Adjustment Gauge for Red E1 AXS Front Derailleur,https://www.bike-components.de/en/SRAM/Adjustment-Gauge-for-Red-E1-AXS-Front-Derailleur-p94395/,2026-08-29,
SR-RED-FC,SRAM Red AXS kliky 2x (48-35) bez wattmetru,251.26,299.0,bike-components.de,DE,299.0,EUR,skladem,0.0,0.0,Red E1 DUB 2x12-speed Carbon Crankset,https://www.bike-components.de/en/SRAM/Red-E1-DUB-2x12-speed-Carbon-Crankset-p94131/,2026-08-29,
SR-RED-FC-PM,SRAM Red AXS kliky 2x s wattmetrem (Quarq),630.24,749.99,bike-discount.de,DE,749.99,EUR,skladem,0.0,0.0,Red AXS DUB Powermeter 2x12-fach Carbon Kurbel 50/37,https://www.bike-discount.de/de/sram-red-axs-dub-powermeter-2x12-fach-carbon-kurbel-50/37,2026-08-29,
SR-RED-CS,SRAM XG-1290 kazeta 12s (10-30),187.38,226.73,hupnakolo.cz,CZ,5475.0,CZK,?,0.0,0.0,"Kazeta SRAM RED XG-1290 12rychlostní | eTap AXS | 10-26, 10-28, 10-33",https://www.hupnakolo.cz/sram-red-xg-1290-12rychlostni-kazeta-2/,2026-08-29,ověřit variantu
SR-RED-CN,SRAM Red Flattop řetěz 12s,20.13,23.95,rosebikes.de,DE,23.95,EUR,skladem,0.0,0.0,Red 22/Force 22 Kettenblatt,https://www.rosebikes.de/p/sram-red-22force-22-kettenblatt-859274,2026-08-29,ověřit variantu
SR-RED-SET,SRAM Red AXS E1 (2024) kompletní sada 2x12 disc bez wattmetru,294.11,349.99,bike-discount.de,DE,349.99,EUR,skladem,0.0,0.0,RED AXS E1 HRD Schalt-/Bremshebel Kit,https://www.bike-discount.de/de/sram-red-axs-e1-hrd-schalt-bremshebel-kit,2026-08-29,
SR-RED-SET-PM,SRAM Red AXS E1 (2024) kompletní sada 2x12 disc s wattmetrem,487.39,579.99,bike-discount.de,DE,579.99,EUR,skladem,0.0,0.0,RED AXS E1 2-fach Powermeter Kit,https://www.bike-discount.de/de/sram-red-axs-e1-powermeter-kit,2026-08-29,
SR-FORCE-STBR,SRAM Force AXS Shift-Brake System (1 strana vč. třmenu a hadičky),43.69,51.99,bike-discount.de,DE,51.99,EUR,skladem,0.0,0.0,Force AXS E1 12-fach Schaltrollen-Set,https://www.bike-discount.de/de/sram-force-axs-e1-12-fach-schaltrollen-set,2026-08-29,
SR-FORCE-RD,SRAM Force AXS přehazovačka 12s (max 36T),226.05,269.0,bike-components.de,DE,269.0,EUR,skladem,0.0,0.0,Force E1 AXS Schaltwerk 12-fach,https://www.bike-components.de/de/SRAM/Force-E1-AXS-Schaltwerk-12-fach-p96642/,2026-08-29,
SR-FORCE-FD,SRAM Force AXS přesmykač,139.49,165.99,bike-components.de,DE,165.99,EUR,skladem,0.0,0.0,Force E1 AXS Front Derailleur 2-speed,https://www.bike-components.de/en/SRAM/Force-E1-AXS-Front-Derailleur-2-speed-p96643/,2026-08-29,
SR-FORCE-FC,SRAM Force AXS kliky 2x (48-35) bez wattmetru,56.29,66.99,bike-components.de,DE,66.99,EUR,skladem,0.0,0.0,Force AXS 2x12 Crankset,https://www.bike-components.de/en/SRAM/Force-AXS-2x12-Crankset-p217468/,2026-08-29,
SR-FORCE-FC-PM,SRAM Force AXS kliky 2x s wattmetrem (Quarq),268.87,319.95,rosebikes.de,DE,319.95,EUR,skladem,0.0,0.0,Force 1® AXS™ Power Meter Kurbel 1 x 12-fach,https://www.rosebikes.de/p/sram-force-1r-axstm-power-meter-kurbel-1-x-12-fach-2718601,2026-08-29,
SR-FORCE-CS,SRAM XG-1270 kazeta 12s (10-30),109.24,129.99,bike-components.de,DE,129.99,EUR,skladem,0.0,0.0,Force XG-1270 E1 12-speed cassette,https://www.bike-components.de/en/SRAM/Force-XG-1270-E1-12-speed-cassette-p96652/,2026-08-29,ověřit variantu
SR-FORCE-CN,SRAM Force Flattop řetěz 12s,1.88,2.28,hupnakolo.cz,CZ,55.0,CZK,?,0.0,0.0,FORCE spojka řetězu 9s PYC | Shimano / SRAM | 8592627107733,https://www.hupnakolo.cz/spojka-pyc-pro-9-retez--1sada-1-blistr-6ks-spojek/,2026-08-29,ověřit variantu
SR-FORCE-SET,SRAM Force AXS 2025 (E1) kompletní sada 2x12 disc bez wattmetru,123.52,146.99,bike-components.de,DE,146.99,EUR,skladem,0.0,0.0,Shift/Brake Lever Kit Force E1 Axs Disc,https://www.bike-components.de/en/SRAM/Shift-Brake-Lever-Kit-Force-E1-Axs-Disc-p215226/,2026-08-29,
SR-FORCE-SET-PM,SRAM Force AXS 2025 (E1) kompletní sada 2x12 disc s wattmetrem,2361.34,2810.0,bike-components.de,DE,2810.0,EUR,vyprodáno,0.0,0.0,Force E1 AXS HRD FM Powermeter Gruppe 2x12-fach 33-46,https://www.bike-components.de/de/SRAM/Force-E1-AXS-HRD-FM-Powermeter-Gruppe-2x12-fach-33-46-p218460/,2026-08-29,vyprodáno
SR-RIVAL-STBR,SRAM Rival AXS Shift-Brake System (1 strana vč. třmenu a hadičky),16.8,19.99,bike-discount.de,DE,19.99,EUR,skladem,0.0,0.0,Rival/Force/Red AXS Brake Caliper Service Kit,https://www.bike-discount.de/en/sram-rival/force/red-axs-brake-caliper-service-kit,2026-08-29,
SR-RIVAL-RD,SRAM Rival AXS přehazovačka 12s (max 36T),163.02,193.99,bike-components.de,DE,193.99,EUR,skladem,0.0,0.0,Rival E1 AXS 12-speed rear derailleur,https://www.bike-components.de/en/SRAM/Rival-E1-AXS-12-speed-rear-derailleur-p96663/,2026-08-29,
SR-RIVAL-FD,SRAM Rival AXS přesmykač,106.61,129.0,mantel.com,NL,129.0,EUR,skladem,0.0,0.0,SRAM Rival AXS E1 Front Derailleur,https://www.mantel.com/en/sram-rival-axs-e1-embargo-17-6-front-derailleur,2026-08-29,
SR-RIVAL-FC,SRAM Rival AXS kliky 2x (46-33) bez wattmetru,60.5,71.99,bike-components.de,DE,71.99,EUR,skladem,0.0,0.0,Rival DUB 2x12-speed Crankset,https://www.bike-components.de/en/SRAM/Rival-DUB-2x12-speed-Crankset-p81651/,2026-08-29,
SR-RIVAL-FC-PM,SRAM Rival AXS kliky 2x s wattmetrem (Quarq),226.01,268.95,rosebikes.de,DE,268.95,EUR,skladem,0.0,22.3,Rival AXS™ Power Meter Kurbel 2 x 12-fach,https://www.rosebikes.de/p/sram-rival-axstm-power-meter-kurbel-2-x-12-fach-2700080,2026-08-29,
SR-RIVAL-CS,SRAM XG-1250 kazeta 12s (10-30),71.42,84.99,bike-components.de,DE,84.99,EUR,skladem,0.0,0.0,XG-1250 12-speed Cassette for Rival,https://www.bike-components.de/en/SRAM/XG-1250-12-speed-Cassette-for-Rival-p81658/,2026-08-29,ověřit variantu
SR-RIVAL-CN,SRAM Rival Flattop řetěz 12s,15.92,18.95,rosebikes.de,DE,18.95,EUR,předobjednávka,0.0,0.0,"Rival 2 x 12-fach AXS Kettenblatt, innen",https://www.rosebikes.de/p/sram-rival-2-x-12-fach-axs-kettenblatt-innen-2699864,2026-08-29,
SR-RIVAL-SET,SRAM Rival AXS 2025 (E1) kompletní sada 2x12 disc bez wattmetru,18.79,22.73,kupkolo.cz,CZ,549.0,CZK,skladem,0.0,0.0,Servisní sada pro Sram Brzdový třmen Rival AXS,https://www.kupkolo.cz/servisni-sada-pro-sram-brzdovy-trmen-rival-axs_z122150/,2026-08-29,ověřit variantu
SR-RIVAL-SET-PM,SRAM Rival AXS 2025 (E1) kompletní sada 2x12 disc s wattmetrem,1462.18,1740.0,bike-components.de,DE,1740.0,EUR,vyprodáno,0.0,0.0,Rival E1 AXS HRD FM Powermeter Gruppe 2x12-fach 35-48,https://www.bike-components.de/de/SRAM/Rival-E1-AXS-HRD-FM-Powermeter-Gruppe-2x12-fach-35-48-p218860/,2026-08-29,vyprodáno
SR-FORCE-D2-SET,SRAM Force AXS D2 (2023) kompletní sada 2x12 disc – dobíhající generace,16.8,19.99,bike-discount.de,DE,19.99,EUR,skladem,0.0,0.0,Rival/Force/Red AXS Brake Caliper Service Kit,https://www.bike-discount.de/en/sram-rival/force/red-axs-brake-caliper-service-kit,2026-08-29,ověřit variantu
SR-RIVAL-D1-SET,SRAM Rival eTap AXS D1 kompletní sada 2x12 disc – dobíhající generace,5.45,6.49,bike-components.de,DE,6.49,EUR,skladem,0.0,0.0,Mounting & Adjustment Bolt Kit for Rival eTap AXS Rear Derailleur,https://www.bike-components.de/en/SRAM/Mounting-Adjustment-Bolt-Kit-for-Rival-eTap-AXS-Rear-Derailleur-p81638/,2026-08-29,ověřit variantu
SR-RED-D1-SET,SRAM Red eTap AXS D1 kompletní sada 2x12 disc – dobíhající generace,4.19,4.99,bike-components.de,DE,4.99,EUR,skladem,0.0,0.0,Pushrod Kit for Red eTap AXS E1,https://www.bike-components.de/en/SRAM/Pushrod-Kit-for-Red-eTap-AXS-E1-p96247/,2026-08-29,ověřit variantu
SR-X-BATTERY,SRAM AXS baterie,38.64,46.75,kupkolo.cz,CZ,1129.0,CZK,skladem,0.0,0.0,"SRAM baterie eTAP/AXS (pro přehazovačku nebo přesmykač), 1kus",https://www.kupkolo.cz/sram-baterie-etap-axs-pro-prehazovacku-nebo-presmykac-1kus_z100168/,2026-08-29,
SR-X-CHARGER,SRAM AXS nabíječka baterie,34.67,41.95,mantel.com,NL,41.95,EUR,skladem,0.0,0.0,SRAM eTap AXS Battery Charger,https://www.mantel.com/en/sram-etap-axs-battery-charger,2026-08-29,
SR-X-PACELINE-160,SRAM Paceline kotouč 160 mm Center Lock (Force/Rival),30.25,36.61,hupnakolo.cz,CZ,884.0,CZK,?,0.0,0.0,00.5018.248.001 - SRAM AM DB ROTOR CL PACELINE 160 ROUNDEDLR A2 - Hupnakolo,https://www.hupnakolo.cz/00-5018-248-001-sram-am-db-rotor-cl-paceline-160-roundedlr-a2/,2026-08-29,
SR-X-PACELINE-X-160,SRAM Paceline X kotouč 160 mm Center Lock (Red E1),45.79,55.41,hupnakolo.cz,CZ,1338.0,CZK,?,0.0,0.0,SRAM Paceline X Center Lock 160 mm – dvoudílný brzdový kotouč Rounded Edges - Hupnakolo,https://www.hupnakolo.cz/sram-paceline-x-center-lock-160-mm---dvoudilny-brzdovy-kotouc-rounded-edges/,2026-08-29,
SR-X-CENTERLINE-XR-160,SRAM Centerline XR kotouč 160 mm Center Lock,,,,,,,,,,,,,žádný shop nenalezen
