sku_id,brand,series,generation,category,name,unit,part_number,search,must_match,must_not_match,prefer,notes
SH-ULT-FD,Shimano,Ultegra Di2,R8100,Přesmykač,FD-R8150 Di2,ks,,FD-R8150,FD[- ]?R8150,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|adapter|clamp|schelle|objímk|wedge|keil|support plate|cover|kappe|abdeck|kryt|screw|schraube|bolt|kabelführung|kabelfuehrung|cable guide|vedení kabelu,,
SH-ULT-FC,Shimano,Ultegra Di2,R8100,Kliky,FC-R8100 kliky 2x12 (50-34),ks,,FC-R8100,FC[- ]?R8100,FC[- ]?R8100-P\b|power|watt|leistung|quarq|\bpm\b|groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|kettenblatt|chainring|převodník|plateau|corona|plato|kettingblad|cover|kappe|abdeck|kryt|bolt|schraube|crank ?arm|kurbelarm|\bklika\b|pedal|spider|spindle|axle|achse|\bosa\b|bottom bracket|innenlager|středov|klinge|blad,"50[-/x ]34|172[.,]?5",Cena je stejná napříč délkami/převodníky; 'prefer' jen hlídá variantu.
SH-ULT-FC-PM,Shimano,Ultegra Di2,R8100,Kliky s wattmetrem,FC-R8100-P kliky s wattmetrem,ks,,FC-R8100-P,"FC[- ]?R8100-?P\b|FC[- ]?R8100.{0,20}power|watt|leistung|quarq|\bpm\b",groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey|kettenblatt|chainring|převodník|plateau|corona|plato|kettingblad|cover|kappe|abdeck|kryt|bolt|schraube|crank ?arm|kurbelarm|\bklika\b|pedal|spider|spindle|axle|achse|\bosa\b|bottom bracket|innenlager|středov|klinge|blad,50[-/x ]34,
SH-ULT-CS,Shimano,Ultegra Di2,R8100,Kazeta,CS-R8100 12s (11-30),ks,,CS-R8100,CS[- ]?R8100,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|lockring|verschlussring|pojistn|spacer|distanz|adapter|sprocket\b|ritzel\b|pastorek|spider,11[-/]30,
SH-ULT-CN,Shimano,Ultegra Di2,R8100,Řetěz,CN-M8100 řetěz 12s,ks,,CN-M8100,CN[- ]?M8100;chain|kette|řetěz|ketting|cha[iî]ne|cadena|catena,tool|nýtovač|nietwerkzeug|kettenwerkzeug,,
SH-ULT-SET,Shimano,Ultegra Di2,R8100,Kompletní sada,Shimano Ultegra Di2 R8100 kompletní sada 2x12 disc,sada,,Shimano Ultegra Di2 R8100 groupset|Shimano Ultegra Di2 Gruppe|Shimano Ultegra Di2 sada|Shimano Ultegra Di2,\bUltegra\b;Di2;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|FC[- ]?R8100-?P\b|power|watt|leistung|quarq|\bpm\b|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,R8100|R8170|2x12|2x|disc|scheib|kotouč,
SH-ULT-SET-PM,Shimano,Ultegra Di2,R8100,Kompletní sada s wattmetrem,Shimano Ultegra Di2 R8100 kompletní sada s FC-R8100-P,sada,,Shimano Ultegra Di2 FC-R8100-P groupset|Shimano Ultegra Di2 power meter groupset|Shimano Ultegra Di2 R8100,\bUltegra\b;Di2;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b;FC[- ]?R8100-?P\b|power|watt|leistung|quarq|\bpm\b,upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní;power ?meter[- ]kit|\bpm kit\b|powermeter spider|spider kit,R8100|FC[- ]?R8100-?P\b,
SH-DA-STBR,Shimano,Dura-Ace Di2,R9200,Páky + třmeny (pár),ST-R9270 + BR-R9270 Di2 hydraulické páky + třmeny (pár),pár,,ST-R9270 BR-R9270|ST-R9270,ST[- ]?R9270,"groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade;hood|griffgummi|gumy|gumov|rubber|cover|kappe|abdeck|kryt|blip|clamp|schelle|objímk|lever blade|bleed|entlüft|odvzdušn|\bpad|belag|destičk|olive|insert|šroub|sroub|screw|schraube|bolt|nádob|reservoir;^(?!.*(\bset\b|satz|sada|\bpair\b|paar|\bpár\b|2 ?(ks|pcs|stk)|2er|front ?[+&/] ?rear|vorne.{0,12}hinten|přední.{0,12}zadní|left.{0,12}right|links.{0,12}rechts)).*(-[LR]\b|\blinks\b|\brechts\b|vorderrad|hinterrad|\bleft\b|\bright\b|\bpřední\b|\bzadní\b|\bvorne\b|\bhinten\b)","BR[- ]?R9270;\bset\b|satz|sada|pair|paar|pár|front.{0,12}rear|vorne.{0,12}hinten|přední.{0,12}zadní|links.{0,12}rechts|left.{0,12}right|levá.{0,12}pravá|2 ?pcs|2er",Shopy prodávají po stranách i v páru – při 'ověřit variantu' zkontroluj URL v data/urls.json.
SH-DA-RD,Shimano,Dura-Ace Di2,R9200,Přehazovačka,RD-R9250 Di2 12s,ks,,RD-R9250,RD[- ]?R9250,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|cage|käfig|kolečk|pulley|röllchen|r[äa]dchen|rollensatz|schaltrolle|leitrolle|spannrolle|rolna|jockey|kladk|spring|feder|plate\b|platte|hanger|patka|screw|schraube|bolt|adapter|cover|kappe|abdeck|kryt|protector|chránič|kabelf(?:ue|[üu])hrung|zugf(?:ue|[üu])hrung|schaltzug|cable guide|vedení kabelu|stay cable|guide cable|guida del cavo|guia de cabl|achseinheit|\baxle\b|\basse\b|\baxe\b|\beje\b|unidad de eje|schaltwerk[- ]?halter|derailleur bracket|support de|soporte|attacco|pully|carrucole|poleas|poulies|ersatzteil|spare part|náhradní díl|gauge|lehre|měrk,,
SH-DA-FD,Shimano,Dura-Ace Di2,R9200,Přesmykač,FD-R9250 Di2,ks,,FD-R9250,FD[- ]?R9250,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|adapter|clamp|schelle|objímk|wedge|keil|support plate|cover|kappe|abdeck|kryt|screw|schraube|bolt|kabelführung|kabelfuehrung|cable guide|vedení kabelu,,
SH-DA-FC,Shimano,Dura-Ace Di2,R9200,Kliky,FC-R9200 kliky 2x12 (52-36),ks,,FC-R9200,FC[- ]?R9200,FC[- ]?R9200-P\b|power|watt|leistung|quarq|\bpm\b|groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|kettenblatt|chainring|převodník|plateau|corona|plato|kettingblad|cover|kappe|abdeck|kryt|bolt|schraube|crank ?arm|kurbelarm|\bklika\b|pedal|spider|spindle|axle|achse|\bosa\b|bottom bracket|innenlager|středov|klinge|blad,"52[-/x ]36|172[.,]?5",Cena je stejná napříč délkami/převodníky; 'prefer' jen hlídá variantu.
SH-DA-FC-PM,Shimano,Dura-Ace Di2,R9200,Kliky s wattmetrem,FC-R9200-P kliky s wattmetrem,ks,,FC-R9200-P,"FC[- ]?R9200-?P\b|FC[- ]?R9200.{0,20}power|watt|leistung|quarq|\bpm\b",groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey|kettenblatt|chainring|převodník|plateau|corona|plato|kettingblad|cover|kappe|abdeck|kryt|bolt|schraube|crank ?arm|kurbelarm|\bklika\b|pedal|spider|spindle|axle|achse|\bosa\b|bottom bracket|innenlager|středov|klinge|blad,52[-/x ]36,
SH-DA-CS,Shimano,Dura-Ace Di2,R9200,Kazeta,CS-R9200 12s (11-30),ks,,CS-R9200,CS[- ]?R9200,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|lockring|verschlussring|pojistn|spacer|distanz|adapter|sprocket\b|ritzel\b|pastorek|spider,11[-/]30,
SH-DA-CN,Shimano,Dura-Ace Di2,R9200,Řetěz,CN-M9100 řetěz 12s,ks,,CN-M9100,CN[- ]?M9100;chain|kette|řetěz|ketting|cha[iî]ne|cadena|catena,tool|nýtovač|nietwerkzeug|kettenwerkzeug,,
SH-DA-SET,Shimano,Dura-Ace Di2,R9200,Kompletní sada,Shimano Dura-Ace Di2 R9200 kompletní sada 2x12 disc,sada,,Shimano Dura-Ace Di2 R9200 groupset|Shimano Dura-Ace Di2 Gruppe|Shimano Dura-Ace Di2 sada|Shimano Dura-Ace Di2,\bDura[- ]?Ace\b;Di2;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|FC[- ]?R9200-?P\b|power|watt|leistung|quarq|\bpm\b|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,R9200|R9270|2x12|2x|disc|scheib|kotouč,
SH-DA-SET-PM,Shimano,Dura-Ace Di2,R9200,Kompletní sada s wattmetrem,Shimano Dura-Ace Di2 R9200 kompletní sada s FC-R9200-P,sada,,Shimano Dura-Ace Di2 FC-R9200-P groupset|Shimano Dura-Ace Di2 power meter groupset|Shimano Dura-Ace Di2 R9200,\bDura[- ]?Ace\b;Di2;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b;FC[- ]?R9200-?P\b|power|watt|leistung|quarq|\bpm\b,upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní;power ?meter[- ]kit|\bpm kit\b|powermeter spider|spider kit,R9200|FC[- ]?R9200-?P\b,
SH-X-BT-DN300,Shimano,Di2 společné,,Baterie,BT-DN300 Di2 baterie,ks,,BT-DN300,BT[- ]?DN300,cover|kappe|kryt|holder|halter|držák|mount|adapter,,
SH-X-EW-EC300,Shimano,Di2 společné,,Nabíjecí kabel,EW-EC300 Di2 nabíjecí kabel,ks,,EW-EC300,EW[- ]?EC300,,,
SH-X-RT-CL800,Shimano,Di2 společné,,Kotouč,RT-CL800 kotouč 160 mm Center Lock (Ultegra/105),ks,,RT-CL800 160|RT-CL800,RT[- ]?CL800;160,pair|paar|pár|2 ?pcs|2er|\bset\b|satz|sada|6-?bolt|6 ?loch|6 ?děr|\bIS\b,center ?lock|centerlock|\bCL\b,
SH-X-RT-CL900,Shimano,Di2 společné,,Kotouč,RT-CL900 kotouč 160 mm Center Lock (Dura-Ace),ks,,RT-CL900 160|RT-CL900,RT[- ]?CL900;160,pair|paar|pár|2 ?pcs|2er|\bset\b|satz|sada|6-?bolt|6 ?loch|6 ?děr|\bIS\b,center ?lock|centerlock|\bCL\b,
SR-RED-SET,SRAM,Red AXS,E1 (2024),Kompletní sada,SRAM Red AXS E1 (2024) kompletní sada 2x12 disc bez wattmetru,sada,,SRAM Red AXS groupset 2x12|SRAM Red AXS Gruppe|SRAM Red AXS sada|SRAM Red AXS,\bRed\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|etap|\bD1\b|2019|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|power|watt|leistung|quarq|\bpm\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,\bE1\b|2024|MY24|MY25|MY26;2x12|2x|2-fach|disc,
SR-RED-SET-PM,SRAM,Red AXS,E1 (2024),Kompletní sada s wattmetrem,SRAM Red AXS E1 (2024) kompletní sada 2x12 disc s wattmetrem,sada,,SRAM Red AXS power meter groupset|SRAM Red AXS Gruppe Powermeter|SRAM Red AXS sada wattmetr|SRAM Red AXS,\bRed\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b;power|watt|leistung|quarq|\bpm\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|etap|\bD1\b|2019|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní;power ?meter[- ]kit|\bpm kit\b|powermeter spider|spider kit,\bE1\b|2024|MY24|MY25|MY26;2x12|2x|2-fach,
SR-FORCE-SET,SRAM,Force AXS,2025 (E1),Kompletní sada,SRAM Force AXS 2025 (E1) kompletní sada 2x12 disc bez wattmetru,sada,,SRAM Force AXS groupset 2x12|SRAM Force AXS Gruppe|SRAM Force AXS sada|SRAM Force AXS,\bForce\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|etap|\bD1\b|\bD2\b|2023|2019|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|power|watt|leistung|quarq|\bpm\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,2025|\bE1\b|\bnew\b|neu\b|nov[áý]|MY25|MY26;2x12|2x|2-fach|disc,
SR-FORCE-SET-PM,SRAM,Force AXS,2025 (E1),Kompletní sada s wattmetrem,SRAM Force AXS 2025 (E1) kompletní sada 2x12 disc s wattmetrem,sada,,SRAM Force AXS power meter groupset|SRAM Force AXS Gruppe Powermeter|SRAM Force AXS sada wattmetr|SRAM Force AXS,\bForce\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b;power|watt|leistung|quarq|\bpm\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|etap|\bD1\b|\bD2\b|2023|2019|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní;power ?meter[- ]kit|\bpm kit\b|powermeter spider|spider kit,2025|\bE1\b|\bnew\b|neu\b|nov[áý]|MY25|MY26;2x12|2x|2-fach,
SR-RIVAL-SET,SRAM,Rival AXS,2025 (E1),Kompletní sada,SRAM Rival AXS 2025 (E1) kompletní sada 2x12 disc bez wattmetru,sada,,SRAM Rival AXS groupset 2x12|SRAM Rival AXS Gruppe|SRAM Rival AXS sada|SRAM Rival AXS,\bRival\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|etap|\bD1\b|2021|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|power|watt|leistung|quarq|\bpm\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,2025|\bE1\b|\bnew\b|neu\b|nov[áý]|MY25|MY26;2x12|2x|2-fach|disc,
SR-RIVAL-SET-PM,SRAM,Rival AXS,2025 (E1),Kompletní sada s wattmetrem,SRAM Rival AXS 2025 (E1) kompletní sada 2x12 disc s wattmetrem,sada,,SRAM Rival AXS power meter groupset|SRAM Rival AXS Gruppe Powermeter|SRAM Rival AXS sada wattmetr|SRAM Rival AXS,\bRival\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b;power|watt|leistung|quarq|\bpm\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|etap|\bD1\b|2021|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní;power ?meter[- ]kit|\bpm kit\b|powermeter spider|spider kit,2025|\bE1\b|\bnew\b|neu\b|nov[áý]|MY25|MY26;2x12|2x|2-fach,
SR-FORCE-D2-SET,SRAM,Force AXS,D2 (2023) – dobíhající,Kompletní sada,SRAM Force AXS D2 (2023) kompletní sada 2x12 disc – dobíhající generace,sada,,SRAM Force AXS D2 groupset|SRAM Force AXS 2023 groupset|SRAM Force AXS Gruppe|SRAM Force AXS,\bForce\b;AXS;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|etap|\bD1\b|2025|\bE1\b|2026|power|watt|leistung|quarq|\bpm\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,\bD2\b|2023|2024,Názvy D2 vs. 2025 se často liší jen letopočtem – po prvním běhu zkontroluj URL.
SR-RIVAL-D1-SET,SRAM,Rival AXS,"D1 (2021, eTap) – dobíhající",Kompletní sada,SRAM Rival eTap AXS D1 kompletní sada 2x12 disc – dobíhající generace,sada,,SRAM Rival eTap AXS groupset|SRAM Rival eTap AXS Gruppe|SRAM Rival eTap AXS,\bRival\b;eTap;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|power|watt|leistung|quarq|\bpm\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,\bD1\b|2021|2022,
SR-RED-D1-SET,SRAM,Red AXS,"D1 (2019, eTap) – dobíhající",Kompletní sada,SRAM Red eTap AXS D1 kompletní sada 2x12 disc – dobíhající generace,sada,,SRAM Red eTap AXS groupset|SRAM Red eTap AXS Gruppe|SRAM Red eTap AXS,\bRed\b;eTap;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,xplr|\b13\b|13-speed|13-fach|13s\b|eagle|transmission|\bXX\b|\bX0\b|\bGX\b|\bNX\b|mtb|apex|upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|power|watt|leistung|quarq|\bpm\b;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,\bD1\b,
